Review,Rating,Aspek,Sentiment
cepat diprosesnyaterinya juga enak yg original tp lbh enak lg yg balado,5,rasa,POSITIF
mantap,5,kualitas,POSITIF
udah di kasih terang original dan rumput lauttp yg datang bbq,3,pelayanan,NETRAL
kurang sedap kurang rasa ikan nya,3,rasa,NETRAL
paket terima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5,rasa,POSITIF
paket terima dg baiikk sellau pesan d sini krn senang orgtua trmksh ya kak sukses selalu dn tambah byk langgan nya,5,pelayanan,POSITIF
paket terima dg baik paking dg kardus rasa tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses selalu,5,pelayanan,POSITIF
enak baru dateng udah dicemil in,5,rasa,POSITIF
tidak ada yg buat sy suka barang kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4,kualitas,POSITIF
agak terlalu kering ya tempe kemas ga ada label bu rudy seperti di gambar,4,pengiriman,POSITIF
kenapa proses lama ya apa tidak ready,1,pengiriman,NEGATIF
good product good seller,5,pelayanan,POSITIF
maaf aga keras yabumbunya krg brasa tks,3,rasa,NETRAL
kirim cepat packing rapi,5,pengiriman,POSITIF
sampenya cepet dan rapi bom dicobain,5,pengiriman,POSITIF
bau amis,2,rasa,NEGATIF
barang terima sesuai photo  pesan packing ckp rapi  aman cepat nyampe nya jg makasih seller,5,pelayanan,POSITIF
enak suka ikan,5,rasa,POSITIF
enakkkk,5,rasa,POSITIF
enak lain kali beli lagitrimakasih gan,5,rasa,POSITIF
cocok semuanyathx ya,5,pelayanan,POSITIF
rasa pas d lidah,5,rasa,POSITIF
favorite,5,rasa,POSITIF
cpt bgt sampe nya gaada 1 jam uda sampe suka bgt salad nyaa ,5,pelayanan,POSITIF
mantap enak banget langsung abis,5,rasa,POSITIF
enak saladnyacreamy kuahnyaseller ramahsampainya jg tepat waktuthx alot yaanak sy suka salad nya,5,rasa,POSITIF
suuuukkkkaaaaa,5,rasa,POSITIF
mantulll sekali  selalu langgan beli salad sini,5,rasa,POSITIF
akurattpatent service excellence rasa ciamik,5,pelayanan,POSITIF
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah enak,5,rasa,POSITIF
gk sempet foto dah keburu habis,5,rasa,POSITIF
mantulll rasa promonya sering sering juga ya meski gak promo pun tetep mantul karna enak itu,5,rasa,POSITIF
mantaaaappppp uwenaaakkk,5,rasa,POSITIF
pesan keju spesial yg kirim coklat keju,4,pelayanan,POSITIF
produk ok lain kali kalau serah barang ke kurir jangan terlalu malam karena sampai ke terima jadi molor 1 hari,4,pengiriman,POSITIF
alhamdulillahsampai tepat waktu sblm buka puasa mksh kartika sari,5,pengiriman,POSITIF
barang sampe hanya saja kirim agak lama rasa pun ya lumayan lah terimakasih,5,pelayanan,POSITIF
enak neh psg molennya packing rapi  thks yah,5,rasa,POSITIF
packingnya mantap sih,5,pelayanan,POSITIF
barang sudah terima sesuai pesan thanks,5,pelayanan,POSITIF
mantul,5,rasa,POSITIF
rasa enak karena beli langsung dari seller nya,5,rasa,POSITIF
pesan sampai tepat waktu makasih seller dan kurir sicepat ,5,pengiriman,POSITIF
favorite istri kirim buat hampers ramadhan suka semua,5,rasa,POSITIF
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5,rasa,POSITIF
kirim cepat se-asia tenggara terima kasih,5,pengiriman,POSITIF
luar biasa,5,rasa,POSITIF
udh bbrp kali beli sini rasa sei nya enak bgt pasti order kali kali lagi nih,5,rasa,POSITIF
langsung di cobain enak mantapsambelnya jos,5,rasa,POSITIF
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5,rasa,POSITIF
rasa enak banget ,5,rasa,POSITIF
nice perfectobarang d terima dengan sangat baikrespon cepat kirim cepat layan cepat dan ramahbuat agan2 yg lain pokok gak usah ragu deh dengan boss yg satu inidijamin memuaskanterima kasih dan sukses terus bossque,5,rasa,POSITIF
tq brg cpt nyampe dan enak,4,pelayanan,POSITIF
lumayan enak namun sayang nggak free ongkir kata bs next day namun 2 hari telah pesan baru sampai,4,rasa,POSITIF
alhamdulillah sampai tepat waktu belum buka puasa,5,pengiriman,POSITIF
puassssssssssssss kirim ke pacar krn pacar suka bangettt,5,rasa,POSITIF
mantap pisang,5,rasa,POSITIF
emas bagus hanya saya pesan jumat jd baru kirim senin karena sabtu libur jd baru sampai selasa malam,5,pengiriman,POSITIF
alhamdulillaah paket sdh datang terima kasih,5,pelayanan,POSITIF
rasa enak karena beli langsung dari sellernya,5,rasa,POSITIF
enak n segar,5,rasa,POSITIF
fresh dan tidak terlalu berat pas banget buat buka puasa,5,kualitas,POSITIF
respon cepat dan sesuai pesan,5,pelayanan,POSITIF
enak  suka saladnya makasih yaa,5,rasa,POSITIF
semua enk,5,rasa,POSITIF
enaknyaaa,5,rasa,POSITIF
enak bangeeeet mau lagi ,5,rasa,POSITIF
enak bgt fresh,5,rasa,POSITIF
puas bangettt rasa enak porsi bs buat 5 org lebih tampak bagus kereeen mantul bgtt ,5,rasa,POSITIF
ldr sm kluarga jd kirim tumpeng buat buka puasa alhamdulillah pd blg makan enak dan byk sambelny jg mantep thank you yaaa sukses slalu,5,rasa,POSITIF
enak dan tampil bagus  terimakazih,5,rasa,POSITIF
enaaak banget rasa cocok sama taste kita,5,rasa,POSITIF
bagus tumpeng lmyn byk utk porsi 5 org kirim jg ontime,5,pelayanan,POSITIF
puas porsi cukup rasa enak seller responsive kirim aman thank you,5,pelayanan,POSITIF
enaaaaak bgt n makasih dh bs ambil order dada bgt highly recommend,5,rasa,POSITIF
tumpeng nya enax bgtnext psn lgthx,5,rasa,POSITIF
masakan nya enakhiasan nya juga cantikharga juga sesuaigak salah pilih pesan nasi tumpeng di sini makasih ya kak berkah dan lancar trus amin,5,rasa,POSITIF
enak rasa walau porsi kecilpembeli baik respon ramahkurir ramah jg,5,rasa,POSITIF
alhamdulillah barang sudah sampai tks seller dan tokopediaseller nya korporatifgood,5,pengiriman,POSITIF
sesuai pesan proses cepat terima kasih,5,pelayanan,POSITIF
seller nya fast respon mantap,4,pelayanan,POSITIF
neng bgt belanja di toko ini sellernya ramah fast respon dan sangat bantu untuk nasi briyani nya enak bgt tidak usah ragu lagi rekomended pokok,5,pelayanan,POSITIF
sesuai pesananterima kasih,5,pelayanan,POSITIF
produk bagus sesuai harga,4,kualitas,POSITIF
produk sesuai etalase harga murah tapi sayang mungkin stok lama jadi ada kutunyasetelah masak rasa kurang kuatseller responnya bagus dan ramah ,4,kualitas,POSITIF
good kirim cepat recomended seller,5,pengiriman,POSITIF
nasi kuning cantik enak semua,5,rasa,POSITIF
mantap dan enak layan juga super cepat dan ramah recommened seller terima kasih,5,pelayanan,POSITIF
enak dan lezattt terima kasih,5,rasa,POSITIF
alam belanja online yang kesan sesuai dengan harap nasi tumpeng pas sama selera lauk pauk juga sama dengan order terima kasih atas srvis bintang 5 nya,5,pelayanan,POSITIF
nasi tumpeng sampai dengan selamat dan cepat semua enak banget terima kasih timm catering,5,pelayanan,POSITIF
layan cepat dan tepat asa tidak lagi belanja online deliverynya sesuai dengan jam acara untuk rasa mantap ludesdes,5,pelayanan,POSITIF
nasi tumpeng sudah terima dengan baik terima kasih,5,pelayanan,POSITIF
nasi tumpeng kualitas lauk komplit ayam goreng kuning sambal ati ampla perkedel urap sayur telur balado orek tempe sambal paling enakkk pas banget pedesnya,5,rasa,POSITIF
tata rapih dan tarik garnishnya kreatif ada bunga cabe dan tulis dari wortel untuk rasa enak wangi dan gurih rasa lauk pauk juga pas,5,rasa,POSITIF
layan cepat dan transparan selurah puas utama dengan nasi kuning legit dan wangi lauk juga komplit sesuai dengan order,5,rasa,POSITIF
nasi legit ayam goreng mantap cabe pedes sesuai dengan pesan terima kasih,5,rasa,POSITIF
nasi kuning mantap sesuai dengan harga laukpauknya lengkap dan sedap,5,rasa,POSITIF
sudah terima dengan baik terima kasih,5,pelayanan,POSITIF
kirim ontime rasa cocok dengan selera terima kasih,5,pelayanan,POSITIF
mantap rasa porsi sesuai dengan harga terima kasih,5,rasa,POSITIF
enak mantap respon ok next klo ada acara bs order recomended,4,pelayanan,POSITIF
nasi tumpeng terima dengan baik terima kasih,5,pelayanan,POSITIF
rasa dan kualiatas nya mantap atas ekpetasi porsi juga sesuai dengan harga term kasih,5,kualitas,POSITIF
jual respon cepat sesuai deskripsi recomeneddd terima kasih,5,pelayanan,POSITIF
manteb pollnasi kuning enak dan pulen banget urap juga tahan lama empal dan ayam goreng juga manteb sambal pedas dan enakresponnya manteb dan deliverynya pas banget sesuai dengan minta happy and recommended banget terima kasih blackstone,5,rasa,POSITIF
sudah 2 kali pesan di sini benar2 enak deh,5,rasa,POSITIF
enak walaupun ukur liat kecil tp bikin kenyang juga ,5,rasa,POSITIF
rasa enak banget semua lauk pauk enak nasi pulen dan wangikalo ada acara keluarga pasti akan pesan lagi sini,5,rasa,POSITIF
mantaappptepat waktu dan rekomended,5,pengiriman,POSITIF
nasi dan lauk enak hanya yang premium - pakai urap ga kuat sampe sore mgkn bs beri pilih sayur lain jika mau yg premiumdan hitung ongkirnya juga agak krg masuk akal awal saya tanya kirim ke sekolah ongkir 30rb lalu saya tny kiri ke rumah jadi 60rb pdhal rumah saya belah sama sekolahbuat masuk aja ke seller,4,kualitas,POSITIF
tumpeng mini nya enak recommended banget,5,rasa,POSITIF
nasi kuning cantik n enak lauk pun mantap,5,rasa,POSITIF
nasi nya tidak keras dan lauk enak2 untung order yg premium krn porsi kurang klo turut saya tapi overall puas dengan order ini terima kasih,5,rasa,POSITIF
porsi pas lauk banyak rasa sumpah enak aku pake ayam bakar dan rasa gurih enak bumbu nya asa banget bakal jd langgan ahh,5,rasa,POSITIF
tumpeng ok dan ada bonus pudingnyatks,5,rasa,POSITIF
trima kasih pesan sampai tuju dengan baik trima kasih beri bonus puding moga berkah,5,rasa,POSITIF
enak banget nasi kuning dan lauk2nya lalap fresh sellernya ramah order sore bsknya terima ,5,rasa,POSITIF
rasa muas harga murah kualitas luar biasaditambah ada bonus puding,5,kualitas,POSITIF
tumpeng nya ok utk rasa dan tampil tp sayang janji kirim jam 3 nyata sampai jam 430  pdhl jam kantor hanya sampai jam 4 terima jd hrs nunggu dulu gak bisa pulang utk makan spt ini tepat waktu sesuai minta itu penting jd hrs perhati,4,pengiriman,POSITIF
dengan harga segitu masakan ajip mantap masih anget pula poko ngak ada yg kurang puas bgt ud gitu dpt bonus lg puding khusus di bulan puasa makasih ya tunggu order berikunya,5,rasa,POSITIF
suka bgt sama tumpeng mini trs juga bonus pudingnyaa terimakasih yaa,5,rasa,POSITIF
masakan enak seller baik sayang datang ga ontime tapi gapapa masih aman mungkin untuk kirim lebih perhati lagi ,5,pelayanan,POSITIF
alhamdulillaah sesuai order kirim on-time menu mantabz apalagi rasa maknyooossrecommended dech,5,pelayanan,POSITIF
pertama kali sen tumpeng sini puas bgt dtg tepat waktu dan rasa enak bgt owner juga baik bgt sukses terus yaa,5,pelayanan,POSITIF
kirim cepatproduk sesuai deskripsi,5,pelayanan,POSITIF
ini sesuai kirim,5,pengiriman,POSITIF
wort it,5,pelayanan,POSITIF
produk datang sesuai pesan kemas dengan rapi kirim juga cepat respon seller cepat,5,pelayanan,POSITIF
g ada sayur bosyg lain ok,5,kualitas,POSITIF
terima kasih ayam afrika-nya da best seller juga responsif,5,rasa,POSITIF
kirim tepat waktu,5,pengiriman,POSITIF
ayam afrika-nya enak juicy seperti yang iklan terus yg suka potong besar2 dan semua dapat potong paha baik paha atas atau paha utuh yg besar itu anak sy yg masih balita pun suka jadi nagih terima kasih dan sukses selalu yaa ,5,rasa,POSITIF
ntah udah sen ini berapa kali ketagihaaannn enak bgttttt sihhh,5,rasa,POSITIF
daging lebut dan bumbu asa yummy,5,rasa,POSITIF
ayam enaaak empuk dan bumbu resap banget potong besar besar dan saosnya generous banget tambah pisang manis untuk dessert awal kira pisang untuk karbohidrat ganti nasi nyata bukan hehehe packagingnya juga cantik aku beli family pack dapat tempat dari melanin jadi bisa pakai lagi neng deh jadi ga buang sampah plastik terima kasih ya paris di jakarta,5,rasa,POSITIF
cepet jg kirim malam pesan besok sore udh smp jd bs buat buka puasa ayam besar sekali sambelnya mantap,4,pelayanan,POSITIF
ayam empuk wangi dan saus enak bamget utama yg saus ijo,5,rasa,POSITIF
barang cepat sampai,5,pengiriman,POSITIF
barang dr seller ok cuman ekspedisi dr free ongkir yaitu anteraja kecewa lama kalau sen hrs jauh2 hari dan tak usah harap cepat datang minggu baru nyampe itu estemasinya,5,pelayanan,POSITIF
produk sesuai deskripsi recommended seller,5,pelayanan,POSITIF
udah order ratus kayak wkkwkw harap dapat hadiah motor dari sellernya ,5,rasa,POSITIF
langgananan,5,rasa,POSITIF
sering order barang bagus layan cepat,5,pelayanan,POSITIF
cepat sampai dan isi oke,5,pengiriman,POSITIF
produk sesuai deskripsi recommended seller,5,pelayanan,POSITIF
ga ada tulis exp nya jadi bingung,4,kualitas,POSITIF
ikan bnyk yg gosong dan agak kotor ya,4,kualitas,POSITIF
mantap deh pokok beli sini ,5,pelayanan,POSITIF
rasa gurih seperti rasa ikan ,5,rasa,POSITIF
recommended deh pokok ,5,rasa,POSITIF
recommended seller pokok makasih ya  biar bintang yg bicara,5,rasa,POSITIF
rasa enak bgt tekstur masih terlalu keras utk anak usia 1 tahun,5,rasa,POSITIF
lumayan rasa,3,rasa,NETRAL
ketagihanenakkk,5,rasa,POSITIF
packing cepat aman rapi barang sampai dg selamat kualitas ok,5,pelayanan,POSITIF
kirim cepatproduk sesuai deskripsi,5,pengiriman,POSITIF
ini sesuai kirim,5,pengiriman,POSITIF
produk datang sesuai pesan kemas dengan rapi kirim juga cepat respon seller cepat,5,pelayanan,POSITIF
isi lengkap serta sesuai dengan harga yang tera dan seperti lihat enak moga ketika coba rasa bisa sesuai selera,5,pelayanan,POSITIF
sampai rumah basi,1,kualitas,NEGATIF
bandeng udah adem pantesan lendir pas buka,2,kualitas,NEGATIF
packingan oke praktis udh tinggal masak seller oke,5,pelayanan,POSITIF
cepat sampai  packing aman  isi sesuai  terima kasih,5,pelayanan,POSITIF
makan seh suka tapi sambelnya teenyata instant sambel terasi merk uleg dari finna dah gitu ekspedisi lama banget biasa saya belanja pagi sampai sore di esok hari,4,rasa,POSITIF
sesuai deskripsibelum dicobaintks,5,kualitas,POSITIF
pengirimanny cepet bgt thanks seller untuk rasa belum coba klo enak pasti beli lagi ,5,pengiriman,POSITIF
mantaap rasanyaa,5,rasa,POSITIF
layan dan kirim slalu cepat terima kasih,5,pelayanan,POSITIF
konsisten,5,rasa,POSITIF
cepet banget sampe nya thx udah fast response ya kangen sama makan satu ini semenjak pindah dr surabaya btw ini minyak nya abis tumpah2 dalam kirim sptnya next time di buat lebih rapet lagi packaging nya,5,pengiriman,POSITIF
packing rapi produk original mantabss,5,pelayanan,POSITIF
kurang suka rasany,5,rasa,POSITIF
enak bgt bos solusi darurat sahur,5,rasa,POSITIF
mantap cepat packing aman,5,pengiriman,POSITIF
emas aman rapi sampai sumatra dtrima dg baikrekomended,5,pengiriman,POSITIF
kirim cpt bgt mantapp,5,pengiriman,POSITIF
respon cepat rasa otaji paling enak ga banyak minyak,5,rasa,POSITIF
mantul,5,rasa,POSITIF
seperti pesanan2 belum selalu muas tq,5,rasa,POSITIF
paket sudah sampai cepet banget kemas sangat rapi dan imut karena kotak kecil moga rasa enak biar bisa sen lagi sukses buat toko ya,5,pelayanan,POSITIF
teri nya agak kurang gurih sedikit,5,rasa,POSITIF
enak sekalipada saat kirim hampir saja tdk terima namun tdk begitu lama kirim datang,5,rasa,POSITIF
teri kacang balado udah terima dg baik,4,kualitas,POSITIF
enak rasa manis pedas teri dibanyakin lagi dong,5,rasa,POSITIF
sudah sampai sesuai pesan moga2 gak terlalu pedas,5,pengiriman,POSITIF
terimakasih seller fast responnya,5,pelayanan,POSITIF
jujur tadi gamau ngasih bintang jelek belum kirim ga bilang kalo barang kosong tiba2 sampe kasih tulis bakso cuanki kosong oke sy makluminterus admin bilang bakal kirim jumat oke sy tunggu udah minggu ga ada kabar saya tanyain terus mau kirim esok hari eh bener aja sampe hari ini ga kirim bener saya udah bilang bakso cuanki nya ambil aja mba makan aja,1,pelayanan,NEGATIF
barang pesan sudah sampai dan terima dalam bungkus rapi sesuai pesan terima kasih,5,pelayanan,POSITIF
agak lama sih ngirimnya,4,pengiriman,POSITIF
terima kasih pesan sudah di terima,5,pengiriman,POSITIF
enakkknamanya juga po jd lama,5,rasa,POSITIF
rasa b aja masih di bawah rasa bakso cuangki juara lebak bulus,3,rasa,NETRAL
respon jual cepat harga pas packing aman dan rapih rasa cuankie juga enak,5,pelayanan,POSITIF
enak,5,rasa,POSITIF
respon cepat kirim cepat lebih biar bintang yg berbicaratq bosque,5,pelayanan,POSITIF
enk bakso layan nya mantul n sdh belanja yg ke 3 x tinggal nunggu bns tmbhan ni klk belanja lgwkwkwkw,5,rasa,POSITIF
sudah sering order layan kirim dan produk baik,5,pelayanan,POSITIF
it s all good keep up the good job,5,pelayanan,POSITIF
enak,5,rasa,POSITIF
rasa enak ,5,rasa,POSITIF
product sesuai packing dan kirim baik,5,pelayanan,POSITIF
sudah langgan sudah tau kwalitas ,5,kualitas,POSITIF
udah langgan d sini bakso enak kirim jg cepat,5,rasa,POSITIF
makananya enak,5,rasa,POSITIF
lezzattoooo ,5,rasa,POSITIF
suka bgt dengan fast response dan kirimanya yg express pizza jg enakk,5,pelayanan,POSITIF
enaaakk pesan bayar jelang jam9 belum jam11 semua pesan sudah tiba jarak sekitar 11km,5,rasa,POSITIF
direspon dengan cepat terima dalam ada baik  pizza nya wangi saya cocok dengan rasa tasty semua rasa  campur cheese  roti imbang,5,pelayanan,POSITIF
enak pake banget,5,rasa,POSITIF
enak banget cheesenya banyak tiramisu nya jg enak very very delicious,5,rasa,POSITIF
tadi awal salah kirim ya lgs susul pizza dua jadi double terima kasih  ya pizza nya enak,5,rasa,POSITIF
enak banget,5,rasa,POSITIF
enak bgt,5,rasa,POSITIF
pesan sudah terima dengan baik dan sesuai deskripsi terima kasih banyak ya moga makin sukses aamiin,5,pelayanan,POSITIF
respon cpt yg aku kirimsukak,5,pelayanan,POSITIF
pesan sudah terima dengan baik dan sesuai deskripsi terima kasih banyak ya moga makin sukses aamiin,5,pelayanan,POSITIF
makan pake salad sayur tambah enak,5,rasa,POSITIF
pesan sudah terima dengan baik dan sesuai deskripsienak semua terima kasih banyak ya moga makin sukses aamiin,5,pelayanan,POSITIF
enak banget,5,rasa,POSITIF
terima nya kurangbagus,4,kualitas,POSITIF
salmon mentai momomaru emang paling pas mentainya enak dan pas jumlah ga bikin eneg,5,rasa,POSITIF
selalu puas udah repeat order gatau brp kali puedes sambelnya jos dan kulit bener2 tipis the best ,5,rasa,POSITIF
jujur tidak enak beli pertama saya juga ngga bisa pinpoint kenapa begitu tetapi cukup lumayan baik dr segi rasa maupun sambal yg lumayan nendang dan pedas,4,rasa,POSITIF
enak coipan n sambal mantap,5,rasa,POSITIF
coipannya enak next bakal order lg,4,rasa,POSITIF
enak beneran enak banget kulit tipis bawang putih banyak sambelnya pedes mantapp,5,rasa,POSITIF
recommended product one of the best choipans yang pernah saya pesan cara online seller ramah dan komunikatif,5,rasa,POSITIF
kirim cepat jual juga ramah  komunikatif kulit choipannya memang tipis sambal mantap dan gak pelit ,5,pengiriman,POSITIF
mantap choipan ny enakk,5,rasa,POSITIF
enak krenyes2 dan sambal mantap,5,rasa,POSITIF
enak bangettttt kulit tipis isi banyak  cucok buat buka puasa akuu hihihih thankyou sis,5,rasa,POSITIF
kirim cepet hati yang sama antar lom coba sih,5,pengiriman,POSITIF
enaaak,5,rasa,POSITIF
saladnya segar dan enak admin juga fast response ketika ada salah dalam kirim  selalu puas beli salad di sini,5,pelayanan,POSITIF
rasa enak cm kali ini kentang rada keras,5,rasa,POSITIF
enak kirim sangat cepat,5,rasa,POSITIF
enakkkkk,5,rasa,POSITIF
enak banget,5,rasa,POSITIF
enak,5,rasa,POSITIF
enaaakkk,5,rasa,POSITIF
cepat banget rasa baru pesan beberapa menit yg lalu ikut flash sale eh udah sampai,5,pengiriman,POSITIF
enaak fresh,5,kualitas,POSITIF
enaak,5,rasa,POSITIF
beli ke 2 kalinyarecommended salad rollrecommended seller,5,kualitas,POSITIF
kurang suka rasany,3,rasa,NETRAL
kirim cepet banget estimasi 2 jam tapi ga ada jam udah sampe dan masih fresh,5,pengiriman,POSITIF
saladnya segar sekali dan banyak porsi tapi toppingnya kurang enak turut saya,5,kualitas,POSITIF
uuweeennaaakkk,5,rasa,POSITIF
saladnya cantik dan rnak mesan cepat direspon dan cepat datang utk uk sameday bakal langgan pasti,5,rasa,POSITIF
fresh  kasih bonus tomat ceri terima kasih,5,kualitas,POSITIF
salad sayur paling murah 50rbu dpet 3 walau isi cuman sayur topping kn bsa bebas nambahin sndiri mau pke iris ikan tuna daging dll saosnya enak,5,rasa,POSITIF
saladnya mantap,5,rasa,POSITIF
fast responbrg freshpuas blnj d sini dpt bonus tomat kali inisukses gan,5,pelayanan,POSITIF
ya ampuuun enak banget sayur fresh cepat kirim harga sahabat dapat bonus lagibakal sering langgan nih ,5,rasa,POSITIF
fast respond n delivery tks utk free saladnya,5,pelayanan,POSITIF
siang order sore langsung sampai,5,pengiriman,POSITIF
enakkkkk  nanti kalau udah habis order lagi ah,5,rasa,POSITIF
rasa pas,5,rasa,POSITIF
dah sering beli wkwkwkuntuk bikin kimchee jigae dan gado yummmm,5,rasa,POSITIF
kimchi nya enak,5,rasa,POSITIF
sudah langgan,5,kualitas,POSITIF
rasa sesuai kirim cepat,5,pelayanan,POSITIF
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg tepat wkt kurir nya sopan,5,pelayanan,POSITIF
packing rapih produk ok,5,pelayanan,POSITIF
barang sdh terima terima kasih,5,pengiriman,POSITIF
layan bagus,5,pelayanan,POSITIF
kimchinya wangi banget pesan hari ini dan besok langsung sampai langsung buka icip dan rasa sesuai dengan request  jual juga ramah karena tanya mau berapa tingkat pedas dan asam dari kimchi nya packing juga super rapi double bubble wrap thanks sist ,5,rasa,POSITIF
kimchi nya ok banget thanks gan,5,rasa,POSITIF
kimchi nya enak banget dengan harga gin dan dpt banyak worth it kimchi juicenya juga banyak cocok buat nasi goreng dan kimchi jiggae so yummyyyyy bakal repeat order deh kalo uda abis ,5,rasa,POSITIF
mantul beli ke 2 mantap packingnya kaga bocor moga jualanya laris manis,5,pelayanan,POSITIF
kimchinya enak,5,rasa,POSITIF
dah 2x order di sini kimchi nya enakharga nya lumayan murah thanks,5,rasa,POSITIF
seller ramah kimchi nya enakkk sesuai request repeat order yg sekian kali ttp ga bosen paling enak antara kimchi yg lain percaya deh ga nyesel beli di kimchi id,5,rasa,POSITIF
taste is good,5,rasa,POSITIF
packing rapi bgt udah cium bau2nya walau blm buka makasih seller,5,rasa,POSITIF
enak n segar,5,rasa,POSITIF
fresh dan tidak terlalu berat pas banget buat buka puasa,5,kualitas,POSITIF
respon cepat dan sesuai pesan,5,pelayanan,POSITIF
enak  suka saladnya makasih yaa,5,rasa,POSITIF
semua enk,5,rasa,POSITIF
enaknyaaa,5,rasa,POSITIF
enak bangeeeet mau lagi ,5,rasa,POSITIF
enak bgt fresh,5,rasa,POSITIF
cuman 1harang dtg,5,pengiriman,POSITIF
kimchi nya rasa nya enak bangetterutama yg lobak nyapkknya emang beda rasa kirim jg cepat banget sampai nyapengemasan jg rapih dan amandi pakein toples pula,5,rasa,POSITIF
enyakkkk,5,rasa,POSITIF
kimchinya tiba sdh kurang fresh,4,kualitas,POSITIF
sesuai deskripsi agak manis rasa,5,rasa,POSITIF
terlalu manisbeda sama kimchi korea,1,rasa,NEGATIF
kimchinya terlalu asam kurang pedas,3,rasa,NETRAL
mantab ,5,kualitas,POSITIF
rasa nya muas gurih sedikit pedas kilas rasa manis tinggal asam nya tambah saya sengaja beli fresh supaya bisa atur kadar asam nya sendiri enak sayur segar dan crunchy ikut pasti beli lagi kimchi sehat banget ini makan probiotik alami,5,rasa,POSITIF
enak,5,rasa,POSITIF
